Date,rmrf,Ermrf,NdrMinus,Ncf,Rf,FFS1BM1,FFS1BM3,FFS1BM5,FFS3BM1,FFS3BM3,FFS3BM5,FFS5BM1,FFS5BM3,FFS5BM5
1929-03-01 0:00,0.0293,-0.0389,0.1079,-0.0397,0.0202,-0.1011,0.0495,0.0267,-0.0357,-0.0532,-0.01,0.0484,0.0651,0.0912
1929-06-01 0:00,0.0406,-0.0385,0.0878,-0.0087,0.0092,-0.1087,-0.0477,-0.0921,-0.0202,0.1113,0.0021,0.0582,0.06,0.0722
1929-09-01 0:00,0.06,-0.0476,0.1963,-0.0887,0.0037,-0.1406,-0.2453,-0.1111,-0.1124,-0.0331,0.0977,0.0274,0.155,0.0339
1929-12-01 0:00,-0.3454,-0.0499,-0.3845,0.0891,0.0198,-0.2763,-0.4468,-0.3808,-0.4999,-0.165,-0.2123,-0.3338,-0.2369,-0.1166
1930-03-01 0:00,0.1436,0.0031,0.1397,0.0007,0.0292,0.392,0.4389,0.2698,0.2101,0.1862,0.1803,0.1788,0.1602,0.0692
1930-06-01 0:00,-0.2142,-0.0301,-0.0468,-0.1373,0.0151,-0.2139,-0.3511,-0.2985,-0.2966,-0.1797,-0.2308,-0.1886,-0.1545,-0.1474
1930-09-01 0:00,-0.0965,-0.0101,0.0073,-0.0938,0.0197,-0.3633,-0.1931,-0.2023,-0.0913,-0.1059,-0.1817,-0.0523,-0.047,-0.1386
1930-12-01 0:00,-0.2016,-0.0144,-0.2482,0.061,0.0386,-0.2873,-0.3416,-0.3138,-0.1707,-0.1599,-0.396,-0.1491,-0.1637,-0.2612
1931-03-01 0:00,0.0906,0.0056,0.1229,-0.0379,0.0388,-0.0693,0.2423,0.399,0.2717,0.2067,0.2222,0.1827,0.0689,0.1829
1931-06-01 0:00,-0.1226,-0.0087,-0.2215,0.1077,0.0387,0.0174,-0.1709,-0.1189,-0.1046,-0.0703,-0.0691,-0.0484,-0.1065,-0.044
1931-09-01 0:00,-0.4121,0.0215,-0.1607,-0.2728,0.0117,-0.6795,-0.4811,-0.4106,-0.3095,-0.4027,-0.5416,-0.3199,-0.4158,-0.3675
1931-12-01 0:00,-0.17,0.0473,-0.2743,0.057,0.0375,-0.353,-0.2488,-0.2558,-0.1879,-0.0684,-0.2188,-0.0585,-0.438,-0.1508
1932-03-01 0:00,-0.0799,0.0262,-0.0403,-0.0659,0.0528,-0.2667,0.089,0.0369,-0.0474,-0.0153,-0.0367,-0.0337,-0.0585,0.3001
1932-06-01 0:00,-0.4469,0.0199,-0.5305,0.0637,0.037,-0.1563,-0.2443,-0.2343,-0.398,-0.4129,-0.4605,-0.3985,-0.4478,-0.1
1932-09-01 0:00,0.5597,0.082,0.4861,-0.0084,0.0206,1.7419,1.1922,1.3536,0.8842,0.9164,1.5568,0.6145,0.885,1.8404
1932-12-01 0:00,-0.1566,0.004,-0.1672,0.0066,0.0271,-0.2722,-0.5079,-0.4537,-0.2176,-0.266,-0.5153,-0.0495,-0.2165,-0.4488
1933-03-01 0:00,-0.1212,0.0463,-0.1194,-0.0481,0.0449,-0.0118,-0.2578,0.0826,-0.0694,-0.0688,0.0447,-0.1098,-0.0105,0.0194
1933-06-01 0:00,0.636,0.0405,0.5101,0.0854,-0.0029,1.5219,1.7563,1.7121,1.3059,1.1837,1.4244,0.627,0.8265,0.8048
1933-09-01 0:00,-0.1005,-0.0133,0.0218,-0.109,-0.0345,-0.2292,-0.186,-0.2875,-0.1331,-0.1664,-0.3006,-0.1297,-0.1124,-0.1478
1933-12-01 0:00,0.0259,0.0216,-0.0043,0.0087,0.0033,-0.4832,-0.1807,-0.1446,0.0266,0.0142,-0.0176,0.0554,0.0452,-0.0209
1934-03-01 0:00,0.0996,0.0058,0.0504,0.0434,-0.0043,0.9251,0.5444,0.5139,0.4418,0.2997,0.2553,0.0766,0.0919,0.3229
1934-06-01 0:00,-0.0688,0.0072,-0.0527,-0.0233,-0.0051,-0.3375,-0.0589,-0.1171,-0.0904,-0.1251,-0.1807,-0.0646,-0.0544,-0.203
1934-09-01 0:00,-0.0622,0.0259,-0.077,-0.0111,-0.0125,-0.0692,-0.2233,-0.1607,-0.1121,-0.1137,-0.1522,-0.0218,-0.1378,-0.2225
1934-12-01 0:00,0.0635,0.0253,0.0846,-0.0464,0.0172,0.0906,0.1985,0.0952,0.1743,0.1356,-0.0813,0.1355,0.0036,-0.0434
1935-03-01 0:00,-0.0906,0.0125,-0.0815,-0.0215,-0.021,-0.1881,-0.1891,-0.23,-0.0723,-0.1491,-0.2691,-0.0758,-0.121,-0.35
1935-06-01 0:00,0.1731,0.0307,0.1694,-0.0271,0.0003,0.2051,0.212,0.1224,0.1424,0.1356,0.2212,0.158,0.2175,0.4399
1935-09-01 0:00,0.1208,0.0113,0.1254,-0.0158,0.0004,0.0703,0.4107,0.3226,0.0468,0.2546,0.2614,0.154,0.0857,0.2217
1935-12-01 0:00,0.1625,0.0049,0.1153,0.0423,-0.0069,0.5231,0.4125,0.4566,0.2462,0.2733,0.2578,0.1127,0.183,0.3625
1936-03-01 0:00,0.0975,-0.0021,0.1067,-0.0071,0.0076,0.4699,0.3786,0.448,0.0591,0.1863,0.2475,0.0879,0.1203,0.1733
1936-06-01 0:00,-0.007,-0.0001,0.0197,-0.0265,-0.0068,-0.2825,-0.1126,-0.1947,-0.0178,-0.0511,0.011,0.0228,-0.0046,0.0074
1936-09-01 0:00,0.0866,0.0019,0.1065,-0.0218,-0.0138,-0.0667,0.1919,0.1566,0.1082,0.1445,0.2018,0.0543,0.0602,0.1149
1936-12-01 0:00,0.1017,-0.0081,0.0593,0.0505,0.0004,0.2201,0.1869,0.2196,0.1463,0.2537,0.1771,0.072,0.1405,0.0284
1937-03-01 0:00,0.0394,-0.0098,0.0443,0.0049,-0.0129,-0.0172,0.1336,0.2622,0.0374,0.0988,0.1735,-0.0033,-0.015,0.2752
1937-06-01 0:00,-0.129,-0.0098,-0.0828,-0.0364,-0.0123,-0.387,-0.3651,-0.3853,-0.164,-0.1515,-0.257,-0.124,-0.0944,-0.1986
1937-09-01 0:00,-0.1114,-0.0001,-0.0544,-0.0568,-0.0125,-0.1684,-0.1779,-0.1797,-0.1443,-0.1817,-0.2045,-0.0704,-0.0824,-0.2086
1937-12-01 0:00,-0.228,0.0024,-0.2597,0.0294,0.0142,-0.3387,-0.4383,-0.3676,-0.3338,-0.3455,-0.3981,-0.2167,-0.1299,-0.3547
1938-03-01 0:00,-0.2056,0.0268,-0.0624,-0.1699,0.0215,-0.1651,-0.1652,-0.2606,-0.1345,-0.0917,-0.2744,-0.1349,-0.1743,-0.2998
1938-06-01 0:00,0.3075,0.0298,0.0138,0.2638,0.0001,0.5898,0.5669,0.4229,0.4342,0.3857,0.5499,0.3463,0.2928,0.4566
1938-09-01 0:00,0.0506,0.0087,0.1356,-0.0937,0.0001,0.0716,0.1723,-0.0322,0.0758,0.0361,0.0334,0.0938,0.0107,0.0546
1938-12-01 0:00,0.0956,0.0107,0.098,-0.0132,0.0071,0.0602,0.1759,0.061,0.1535,0.1631,0.1892,0.0873,0.0501,0.2309
1939-03-01 0:00,-0.1542,0.0049,-0.0083,-0.1508,0.0072,-0.3587,-0.2757,-0.2302,-0.203,-0.2233,-0.2751,-0.1325,-0.1058,-0.3463
1939-06-01 0:00,0.0093,0.0175,-0.0819,0.0737,0.0072,-0.0008,-0.0091,-0.0404,0.0342,0.0063,0.0593,0.0282,0.01,-0.0544
1939-09-01 0:00,0.1759,0.0144,0.1056,0.0559,-0.0212,0.5446,0.6795,0.874,0.322,0.3464,0.4164,0.1472,0.1236,0.5617
1939-12-01 0:00,-0.0114,0.002,0.0233,-0.0367,0.0071,-0.1032,-0.1748,-0.323,0.0455,-0.0122,-0.113,0.0238,0.0168,-0.1394
1940-03-01 0:00,0.0079,0.0097,0.0113,-0.013,0,-0.0022,-0.0005,0.0788,0.0675,0.0398,0.0326,0.0104,0.0003,-0.0356
1940-06-01 0:00,-0.1831,0.0068,-0.2505,0.0606,-0.007,-0.2392,-0.2619,-0.1812,-0.1753,-0.1828,-0.185,-0.1716,-0.1143,-0.1071
1940-09-01 0:00,0.0778,0.0291,0.1235,-0.0747,0.0071,0.0405,0.1604,0.0672,0.1588,0.1346,0.0457,0.1118,0.0404,0.103
1940-12-01 0:00,0.0194,0.0104,-0.0039,0.013,-0.0071,0.1095,0.024,0.0003,0.0249,0.0688,0.0424,-0.028,0.0097,-0.0008
1941-03-01 0:00,-0.0467,0.0102,-0.084,0.027,-0.0069,-0.1796,-0.0572,0.0014,-0.0861,-0.0498,-0.0139,-0.0775,-0.0197,0.0381
